nmm_text_id,lang,type,nmm_text_for_search,expected_nmm_id
nmm_t_95,en,nmmgn,Cao-ma-huang-gen-zhuang-pian is a kind of Natural Medicinal Material.,nmm-000o
nmm_t_96,zh,nmmgn_zh,草麻黄根状片是一种天然药材。,nmm-000o
nmm_t_97,en,nmmsn,Ephedra intermedia Rhizome Sliced is a kind of Natural Medicinal Material.,nmm-000p
nmm_t_98,zh,nmmsn_zh,片制中麻黄根茎是一种天然药材。,nmm-000p
nmm_t_99,en,nmmgn,Zhong-ma-huang-gen-jing-pian is a kind of Natural Medicinal Material.,nmm-000p
nmm_t_100,zh,nmmgn_zh,中麻黄根茎片是一种天然药材。,nmm-000p
nmm_t_101,en,nmmsn,Ephedra intermedia Root Sliced is a kind of Natural Medicinal Material.,nmm-000q
nmm_t_102,zh,nmmsn_zh,片制中麻黄根是一种天然药材。,nmm-000q
nmm_t_103,en,nmmgn,Zhong-ma-huang-gen-pian is a kind of Natural Medicinal Material.,nmm-000q
nmm_t_104,zh,nmmgn_zh,中麻黄根片是一种天然药材。,nmm-000q
nmm_t_105,en,nmmsn,Ephedra intermedia Rhizome and Root Sliced is a kind of Natural Medicinal Material.,nmm-000r
nmm_t_106,zh,nmmsn_zh,片制中麻黄根茎与根是一种天然药材。,nmm-000r
nmm_t_107,en,nmmgn,Zhong-ma-huang-gen-zhuang-pian is a kind of Natural Medicinal Material.,nmm-000r
nmm_t_108,zh,nmmgn_zh,中麻黄根状片是一种天然药材。,nmm-000r
nmm_t_109,en,nmmsn,Ephedra intermedia vel sinica Rhizome and Root Sliced is a kind of Natural Medicinal Material.,nmm-000s
nmm_t_110,zh,nmmsn_zh,片制中麻黄或草麻黄根茎与根是一种天然药材。,nmm-000s
nmm_t_111,en,nmmgn,Ma-huang-gen-pian is a kind of Natural Medicinal Material.,nmm-000s
nmm_t_112,zh,nmmgn_zh,麻黄根片是一种天然药材。,nmm-000s
nmm_t_113,en,nmmsn,Curcuma wenyujin Rhizome is a kind of Natural Medicinal Material.,nmm-000t
nmm_t_114,zh,nmmsn_zh,温郁金根茎是一种天然药材。,nmm-000t
nmm_t_115,en,nmmgn,Wen-yu-jin is a kind of Natural Medicinal Material.,nmm-000t
nmm_t_116,zh,nmmgn_zh,温郁金是一种天然药材。,nmm-000t
nmm_t_117,en,nmmsn,Curcuma kwangsiensis Rhizome is a kind of Natural Medicinal Material.,nmm-000u
nmm_t_118,zh,nmmsn_zh,广西莪术根茎是一种天然药材。,nmm-000u
nmm_t_119,en,nmmgn,Guang-xi-e-zhu is a kind of Natural Medicinal Material.,nmm-000u
nmm_t_120,zh,nmmgn_zh,广西莪术是一种天然药材。,nmm-000u
nmm_t_121,en,nmmsn,Curcuma phaeocaulis Rhizome is a kind of Natural Medicinal Material.,nmm-000v
nmm_t_122,zh,nmmsn_zh,莪术根茎是一种天然药材。,nmm-000v
nmm_t_123,en,nmmgn,Dan-e-zhu is a kind of Natural Medicinal Material.,nmm-000v
nmm_t_124,zh,nmmgn_zh,单莪术是一种天然药材。,nmm-000v
nmm_t_125,en,nmmsn,Curcuma kwangsiensis vel phaeocaulis vel wenyujin Rhizome is a kind of Natural Medicinal Material.,nmm-000w
nmm_t_126,zh,nmmsn_zh,广西莪术或莪术或温郁金根茎是一种天然药材。,nmm-000w
nmm_t_127,en,nmmgn,E-zhu is a kind of Natural Medicinal Material.,nmm-000w
nmm_t_128,zh,nmmgn_zh,莪术是一种天然药材。,nmm-000w
nmm_t_129,en,nmmsn,Curcuma wenyujin Rhizome Sliced is a kind of Natural Medicinal Material.,nmm-000x
nmm_t_130,zh,nmmsn_zh,片制温郁金根茎是一种天然药材。,nmm-000x
nmm_t_131,en,nmmgn,Wen-yu-jin-pian is a kind of Natural Medicinal Material.,nmm-000x
nmm_t_132,zh,nmmgn_zh,温郁金片是一种天然药材。,nmm-000x
nmm_t_133,en,nmmsn,Curcuma kwangsiensis Rhizome Sliced is a kind of Natural Medicinal Material.,nmm-000y
nmm_t_134,zh,nmmsn_zh,片制广西莪术根茎是一种天然药材。,nmm-000y
nmm_t_135,en,nmmgn,Guang-xi-e-zhu-pian is a kind of Natural Medicinal Material.,nmm-000y
nmm_t_136,zh,nmmgn_zh,广西莪术片是一种天然药材。,nmm-000y
nmm_t_137,en,nmmsn,Curcuma phaeocaulis Rhizome Sliced is a kind of Natural Medicinal Material.,nmm-000z
nmm_t_138,zh,nmmsn_zh,片制莪术根茎是一种天然药材。,nmm-000z
nmm_t_139,en,nmmgn,Dan-e-zhu-pian is a kind of Natural Medicinal Material.,nmm-000z
nmm_t_140,zh,nmmgn_zh,单莪术片是一种天然药材。,nmm-000z
nmm_t_141,en,nmmsn,Curcuma kwangsiensis vel phaeocaulis vel wenyujin Rhizome Sliced is a kind of Natural Medicinal Material.,nmm-0010
nmm_t_142,zh,nmmsn_zh,片制广西莪术或莪术或温郁金根茎是一种天然药材。,nmm-0010
nmm_t_143,en,nmmgn,E-zhu-pian is a kind of Natural Medicinal Material.,nmm-0010
nmm_t_144,zh,nmmgn_zh,莪术片是一种天然药材。,nmm-0010
nmm_t_145,en,nmmsn,Curcuma wenyujin Rhizome Boiled-vinegar and Sliced is a kind of Natural Medicinal Material.,nmm-0011
nmm_t_146,zh,nmmsn_zh,片制醋煮制温郁金根茎是一种天然药材。,nmm-0011
nmm_t_147,en,nmmgn,Cu-wen-yu-jin-pian is a kind of Natural Medicinal Material.,nmm-0011
nmm_t_148,zh,nmmgn_zh,醋温郁金片是一种天然药材。,nmm-0011
nmm_t_149,en,nmmsn,Curcuma kwangsiensis Rhizome Boiled-vinegar and Sliced is a kind of Natural Medicinal Material.,nmm-0012
nmm_t_150,zh,nmmsn_zh,片制醋煮制广西莪术根茎是一种天然药材。,nmm-0012
nmm_t_151,en,nmmgn,Cu-guang-xi-e-zhu-pian is a kind of Natural Medicinal Material.,nmm-0012
nmm_t_152,zh,nmmgn_zh,醋广西莪术片是一种天然药材。,nmm-0012
nmm_t_153,en,nmmsn,Curcuma phaeocaulis Rhizome Boiled-vinegar and Sliced is a kind of Natural Medicinal Material.,nmm-0013
nmm_t_154,zh,nmmsn_zh,片制醋煮制莪术根茎是一种天然药材。,nmm-0013
nmm_t_155,en,nmmgn,Cu-dan-e-zhu-pian is a kind of Natural Medicinal Material.,nmm-0013
nmm_t_156,zh,nmmgn_zh,醋单莪术片是一种天然药材。,nmm-0013
nmm_t_157,en,nmmsn,Curcuma kwangsiensis vel phaeocaulis vel wenyujin Rhizome Boiled-vinegar and Sliced is a kind of Natural Medicinal Material.,nmm-0014
nmm_t_158,zh,nmmsn_zh,片制醋煮制广西莪术或莪术或温郁金根茎是一种天然药材。,nmm-0014
nmm_t_159,en,nmmgn,Cu-e-zhu-pian is a kind of Natural Medicinal Material.,nmm-0014
nmm_t_160,zh,nmmgn_zh,醋莪术片是一种天然药材。,nmm-0014
nmm_t_161,en,nmmsn,Curcuma wenyujin Rhizome Freshly-sliced is a kind of Natural Medicinal Material.,nmm-0015
nmm_t_162,zh,nmmsn_zh,鲜切片温郁金根茎是一种天然药材。,nmm-0015
nmm_t_163,en,nmmgn,Pian-jiang-huang is a kind of Natural Medicinal Material.,nmm-0015
nmm_t_164,zh,nmmgn_zh,片姜黄是一种天然药材。,nmm-0015
nmm_t_165,en,nmmsn,Curcuma wenyujin Rhizome Freshly-sliced Cleaned is a kind of Natural Medicinal Material.,nmm-0016
nmm_t_166,zh,nmmsn_zh,净制鲜切片温郁金根茎是一种天然药材。,nmm-0016
nmm_t_167,en,nmmgn,Jing-pian-jiang-huang is a kind of Natural Medicinal Material.,nmm-0016
nmm_t_168,zh,nmmgn_zh,净片姜黄是一种天然药材。,nmm-0016
nmm_t_169,en,nmmsn,Curcuma longa Rhizome is a kind of Natural Medicinal Material.,nmm-0017
nmm_t_170,zh,nmmsn_zh,姜黄根茎是一种天然药材。,nmm-0017
nmm_t_171,en,nmmgn,Jiang-huang is a kind of Natural Medicinal Material.,nmm-0017
nmm_t_172,zh,nmmgn_zh,姜黄是一种天然药材。,nmm-0017
nmm_t_173,en,nmmsn,Curcuma longa Rhizome Sliced is a kind of Natural Medicinal Material.,nmm-0018
nmm_t_174,zh,nmmsn_zh,片制姜黄根茎是一种天然药材。,nmm-0018
nmm_t_175,en,nmmgn,Jiang-huang-pian is a kind of Natural Medicinal Material.,nmm-0018
nmm_t_176,zh,nmmgn_zh,姜黄片是一种天然药材。,nmm-0018
nmm_t_177,en,nmmsn,Curcuma wenyujin Root-tuber is a kind of Natural Medicinal Material.,nmm-0019
nmm_t_178,zh,nmmsn_zh,温郁金块根是一种天然药材。,nmm-0019
nmm_t_179,en,nmmgn,Wen-yu-jin-gen is a kind of Natural Medicinal Material.,nmm-0019
nmm_t_180,zh,nmmgn_zh,温郁金根是一种天然药材。,nmm-0019
nmm_t_181,en,nmmsn,Curcuma kwangsiensis Root-tuber is a kind of Natural Medicinal Material.,nmm-001a
nmm_t_182,zh,nmmsn_zh,广西莪术块根是一种天然药材。,nmm-001a
nmm_t_183,en,nmmgn,Guang-xi-e-zhu-gen is a kind of Natural Medicinal Material.,nmm-001a
nmm_t_184,zh,nmmgn_zh,广西莪术根是一种天然药材。,nmm-001a
nmm_t_185,en,nmmsn,Curcuma phaeocaulis Root-tuber is a kind of Natural Medicinal Material.,nmm-001b
nmm_t_186,zh,nmmsn_zh,莪术块根是一种天然药材。,nmm-001b
nmm_t_187,en,nmmgn,Dan-e-zhu-gen is a kind of Natural Medicinal Material.,nmm-001b
nmm_t_188,zh,nmmgn_zh,单莪术根是一种天然药材。,nmm-001b
nmm_t_189,en,nmmsn,Curcuma longa Root-tuber is a kind of Natural Medicinal Material.,nmm-001c
nmm_t_190,zh,nmmsn_zh,姜黄块根是一种天然药材。,nmm-001c
nmm_t_191,en,nmmgn,Jiang-huang-gen is a kind of Natural Medicinal Material.,nmm-001c
nmm_t_192,zh,nmmgn_zh,姜黄根是一种天然药材。,nmm-001c
nmm_t_193,en,nmmsn,Curcuma kwangsiensis vel longa vel phaeocaulis vel wenyujin Root-tuber is a kind of Natural Medicinal Material.,nmm-001d
nmm_t_194,zh,nmmsn_zh,广西莪术或姜黄或莪术或温郁金块根是一种天然药材。,nmm-001d
nmm_t_195,en,nmmgn,Yu-jin is a kind of Natural Medicinal Material.,nmm-001d
nmm_t_196,zh,nmmgn_zh,郁金是一种天然药材。,nmm-001d
nmm_t_197,en,nmmsn,Curcuma wenyujin Root-tuber Sliced is a kind of Natural Medicinal Material.,nmm-001e
nmm_t_198,zh,nmmsn_zh,片制温郁金块根是一种天然药材。,nmm-001e
nmm_t_199,en,nmmgn,Wen-yu-jin-gen-pian is a kind of Natural Medicinal Material.,nmm-001e
nmm_t_200,zh,nmmgn_zh,温郁金根片是一种天然药材。,nmm-001e
nmm_t_201,en,nmmsn,Curcuma kwangsiensis Root-tuber Sliced is a kind of Natural Medicinal Material.,nmm-001f
nmm_t_202,zh,nmmsn_zh,片制广西莪术块根是一种天然药材。,nmm-001f
nmm_t_203,en,nmmgn,Guang-xi-e-zhu-gen-pian is a kind of Natural Medicinal Material.,nmm-001f
nmm_t_204,zh,nmmgn_zh,广西莪术根片是一种天然药材。,nmm-001f
nmm_t_205,en,nmmsn,Curcuma phaeocaulis Root-tuber Sliced is a kind of Natural Medicinal Material.,nmm-001g
nmm_t_206,zh,nmmsn_zh,片制莪术块根是一种天然药材。,nmm-001g
nmm_t_207,en,nmmgn,Dan-e-zhu-gen-pian is a kind of Natural Medicinal Material.,nmm-001g
nmm_t_208,zh,nmmgn_zh,单莪术根片是一种天然药材。,nmm-001g
nmm_t_209,en,nmmsn,Curcuma longa Root-tuber Sliced is a kind of Natural Medicinal Material.,nmm-001h
nmm_t_210,zh,nmmsn_zh,片制姜黄块根是一种天然药材。,nmm-001h
nmm_t_211,en,nmmgn,Jiang-huang-gen-pian is a kind of Natural Medicinal Material.,nmm-001h
nmm_t_212,zh,nmmgn_zh,姜黄根片是一种天然药材。,nmm-001h
nmm_t_213,en,nmmsn,Curcuma kwangsiensis vel longa vel phaeocaulis vel wenyujin Root-tuber Sliced is a kind of Natural Medicinal Material.,nmm-001i
nmm_t_214,zh,nmmsn_zh,片制广西莪术或姜黄或莪术或温郁金块根是一种天然药材。,nmm-001i
nmm_t_215,en,nmmgn,Yu-jin-pian is a kind of Natural Medicinal Material.,nmm-001i
nmm_t_216,zh,nmmgn_zh,郁金片是一种天然药材。,nmm-001i
nmm_t_217,en,nmmsn,Panax ginseng Rhizome is a kind of Natural Medicinal Material.,nmm-001j
nmm_t_218,zh,nmmsn_zh,人参根茎是一种天然药材。,nmm-001j
nmm_t_219,en,nmmgn,Ren-shen-gen-jing is a kind of Natural Medicinal Material.,nmm-001j
nmm_t_220,zh,nmmgn_zh,人参根茎是一种天然药材。,nmm-001j
nmm_t_221,en,nmmsn,Panax ginseng Root is a kind of Natural Medicinal Material.,nmm-001k
nmm_t_222,zh,nmmsn_zh,人参根是一种天然药材。,nmm-001k
nmm_t_223,en,nmmgn,Ren-shen-gen is a kind of Natural Medicinal Material.,nmm-001k
nmm_t_224,zh,nmmgn_zh,人参根是一种天然药材。,nmm-001k
nmm_t_225,en,nmmsn,Panax ginseng Rhizome and Root is a kind of Natural Medicinal Material.,nmm-001l
nmm_t_226,zh,nmmsn_zh,人参根茎与根是一种天然药材。,nmm-001l
nmm_t_227,en,nmmgn,Ren-shen is a kind of Natural Medicinal Material.,nmm-001l
nmm_t_228,zh,nmmgn_zh,人参是一种天然药材。,nmm-001l
nmm_t_229,en,nmmsn,Panax ginseng Rhizome Cleaned is a kind of Natural Medicinal Material.,nmm-001m
nmm_t_230,zh,nmmsn_zh,净制人参根茎是一种天然药材。,nmm-001m
nmm_t_231,en,nmmgn,Jing-ren-shen-gen-jing is a kind of Natural Medicinal Material.,nmm-001m
nmm_t_232,zh,nmmgn_zh,净人参根茎是一种天然药材。,nmm-001m
nmm_t_233,en,nmmsn,Panax ginseng Root Cleaned is a kind of Natural Medicinal Material.,nmm-001n
nmm_t_234,zh,nmmsn_zh,净制人参根是一种天然药材。,nmm-001n
nmm_t_235,en,nmmgn,Jing-ren-shen-gen is a kind of Natural Medicinal Material.,nmm-001n
nmm_t_236,zh,nmmgn_zh,净人参根是一种天然药材。,nmm-001n
nmm_t_237,en,nmmsn,Panax ginseng Rhizome and Root Cleaned is a kind of Natural Medicinal Material.,nmm-001o
nmm_t_238,zh,nmmsn_zh,净制人参根茎与根是一种天然药材。,nmm-001o
nmm_t_239,en,nmmgn,Jing-ren-shen is a kind of Natural Medicinal Material.,nmm-001o
nmm_t_240,zh,nmmgn_zh,净人参是一种天然药材。,nmm-001o
nmm_t_241,en,nmmsn,Panax ginseng Rhizome Sliced is a kind of Natural Medicinal Material.,nmm-001p
nmm_t_242,zh,nmmsn_zh,片制人参根茎是一种天然药材。,nmm-001p
nmm_t_243,en,nmmgn,Ren-shen-gen-jing-pian is a kind of Natural Medicinal Material.,nmm-001p
nmm_t_244,zh,nmmgn_zh,人参根茎片是一种天然药材。,nmm-001p
nmm_t_245,en,nmmsn,Panax ginseng Root Sliced is a kind of Natural Medicinal Material.,nmm-001q
nmm_t_246,zh,nmmsn_zh,片制人参根是一种天然药材。,nmm-001q
nmm_t_247,en,nmmgn,Ren-shen-gen-pian is a kind of Natural Medicinal Material.,nmm-001q
nmm_t_248,zh,nmmgn_zh,人参根片是一种天然药材。,nmm-001q
nmm_t_249,en,nmmsn,Panax ginseng Rhizome and Root Sliced is a kind of Natural Medicinal Material.,nmm-001r
nmm_t_250,zh,nmmsn_zh,片制人参根茎与根是一种天然药材。,nmm-001r
nmm_t_251,en,nmmgn,Ren-shen-pian is a kind of Natural Medicinal Material.,nmm-001r
nmm_t_252,zh,nmmgn_zh,人参片是一种天然药材。,nmm-001r
nmm_t_253,en,nmmsn,Panax ginseng Leaf is a kind of Natural Medicinal Material.,nmm-001s
nmm_t_254,zh,nmmsn_zh,人参叶是一种天然药材。,nmm-001s
nmm_t_255,en,nmmgn,Ren-shen-ye is a kind of Natural Medicinal Material.,nmm-001s
nmm_t_256,zh,nmmgn_zh,人参叶是一种天然药材。,nmm-001s
nmm_t_257,en,nmmsn,Panax ginseng Leaf Cleaned is a kind of Natural Medicinal Material.,nmm-001t
nmm_t_258,zh,nmmsn_zh,净制人参叶是一种天然药材。,nmm-001t
nmm_t_259,en,nmmgn,Jing-ren-shen-ye is a kind of Natural Medicinal Material.,nmm-001t
nmm_t_260,zh,nmmgn_zh,净人参叶是一种天然药材。,nmm-001t
nmm_t_261,en,nmmsn,Panax ginseng Rhizome Initially-steamed is a kind of Natural Medicinal Material.,nmm-001u
nmm_t_262,zh,nmmsn_zh,初蒸人参根茎是一种天然药材。,nmm-001u
nmm_t_263,en,nmmgn,Hong-shen-gen-jing is a kind of Natural Medicinal Material.,nmm-001u
nmm_t_264,zh,nmmgn_zh,红参根茎是一种天然药材。,nmm-001u
nmm_t_265,en,nmmsn,Panax ginseng Root Initially-steamed is a kind of Natural Medicinal Material.,nmm-001v
nmm_t_266,zh,nmmsn_zh,初蒸人参根是一种天然药材。,nmm-001v
nmm_t_267,en,nmmgn,Hong-shen-gen is a kind of Natural Medicinal Material.,nmm-001v
nmm_t_268,zh,nmmgn_zh,红参根是一种天然药材。,nmm-001v
nmm_t_269,en,nmmsn,Panax ginseng Rhizome and Root Initially-steamed is a kind of Natural Medicinal Material.,nmm-001w
nmm_t_270,zh,nmmsn_zh,初蒸人参根茎与根是一种天然药材。,nmm-001w
nmm_t_271,en,nmmgn,Hong-shen is a kind of Natural Medicinal Material.,nmm-001w
nmm_t_272,zh,nmmgn_zh,红参是一种天然药材。,nmm-001w
nmm_t_273,en,nmmsn,Panax ginseng Rhizome Initially-steamed Sliced is a kind of Natural Medicinal Material.,nmm-001x
nmm_t_274,zh,nmmsn_zh,片制初蒸人参根茎是一种天然药材。,nmm-001x
nmm_t_275,en,nmmgn,Hong-shen-gen-jing-pian is a kind of Natural Medicinal Material.,nmm-001x
nmm_t_276,zh,nmmgn_zh,红参根茎片是一种天然药材。,nmm-001x
