nmm_text_id,expected_nmm_id,extracted_nmm_ids,correct
nmm_t_172,nmm-0017,['nmm-0017'],True
nmm_t_173,nmm-0018,[],False
nmm_t_174,nmm-0018,['nmm-0018'],True
nmm_t_175,nmm-0018,['nmm-0018'],True
nmm_t_176,nmm-0018,['nmm-0018'],True
nmm_t_177,nmm-0019,[],False
nmm_t_178,nmm-0019,['nmm-0019'],True
nmm_t_179,nmm-0019,['nmm-0019'],True
nmm_t_180,nmm-0019,['nmm-0019'],True
nmm_t_181,nmm-001a,[],False
nmm_t_182,nmm-001a,['nmm-001a'],True
nmm_t_183,nmm-001a,['nmm-001a'],True
nmm_t_184,nmm-001a,['nmm-001a'],True
nmm_t_185,nmm-001b,[],False
nmm_t_186,nmm-001b,['nmm-001b'],True
nmm_t_187,nmm-001b,['nmm-001b'],True
nmm_t_188,nmm-001b,['nmm-001b'],True
nmm_t_189,nmm-001c,[],False
nmm_t_190,nmm-001c,['nmm-001c'],True
nmm_t_191,nmm-001c,['nmm-001c'],True
nmm_t_192,nmm-001c,['nmm-001c'],True
nmm_t_193,nmm-001d,[],False
nmm_t_194,nmm-001d,['nmm-001d'],True
nmm_t_195,nmm-001d,['nmm-001d'],True
nmm_t_196,nmm-001d,['nmm-001d'],True
nmm_t_197,nmm-001e,[],False
nmm_t_198,nmm-001e,['nmm-001e'],True
nmm_t_199,nmm-001e,['nmm-001e'],True
nmm_t_200,nmm-001e,['nmm-001e'],True
nmm_t_201,nmm-001f,[],False
nmm_t_202,nmm-001f,['nmm-001f'],True
nmm_t_203,nmm-001f,['nmm-001f'],True
nmm_t_204,nmm-001f,['nmm-001f'],True
nmm_t_205,nmm-001g,[],False
nmm_t_206,nmm-001g,['nmm-001g'],True
nmm_t_207,nmm-001g,['nmm-001g'],True
nmm_t_208,nmm-001g,['nmm-001g'],True
nmm_t_209,nmm-001h,[],False
nmm_t_210,nmm-001h,['nmm-001h'],True
nmm_t_211,nmm-001h,['nmm-001h'],True
nmm_t_212,nmm-001h,['nmm-001h'],True
nmm_t_213,nmm-001i,[],False
nmm_t_214,nmm-001i,['nmm-001i'],True
nmm_t_215,nmm-001i,['nmm-001i'],True
nmm_t_216,nmm-001i,['nmm-001i'],True
nmm_t_217,nmm-001j,[],False
nmm_t_218,nmm-001j,['nmm-001j'],True
nmm_t_219,nmm-001j,['nmm-001j'],True
nmm_t_220,nmm-001j,['nmm-001j'],True
nmm_t_221,nmm-001k,[],False
nmm_t_222,nmm-001k,['nmm-001k'],True
nmm_t_223,nmm-001k,['nmm-001k'],True
nmm_t_224,nmm-001k,['nmm-001k'],True
nmm_t_225,nmm-001l,[],False
nmm_t_226,nmm-001l,['nmm-001l'],True
nmm_t_227,nmm-001l,['nmm-001l'],True
nmm_t_228,nmm-001l,['nmm-001l'],True
nmm_t_229,nmm-001m,[],False
nmm_t_230,nmm-001m,['nmm-001m'],True
nmm_t_231,nmm-001m,['nmm-001m'],True
nmm_t_232,nmm-001m,['nmm-001m'],True
nmm_t_233,nmm-001n,[],False
nmm_t_234,nmm-001n,['nmm-001n'],True
nmm_t_235,nmm-001n,['nmm-001n'],True
nmm_t_236,nmm-001n,['nmm-001n'],True
nmm_t_237,nmm-001o,[],False
nmm_t_238,nmm-001o,['nmm-001o'],True
nmm_t_239,nmm-001o,['nmm-001o'],True
nmm_t_240,nmm-001o,['nmm-001o'],True
nmm_t_241,nmm-001p,[],False
nmm_t_242,nmm-001p,['nmm-001p'],True
nmm_t_243,nmm-001p,['nmm-001p'],True
nmm_t_244,nmm-001p,['nmm-001p'],True
nmm_t_245,nmm-001q,[],False
nmm_t_246,nmm-001q,['nmm-001q'],True
nmm_t_247,nmm-001q,['nmm-001q'],True
nmm_t_248,nmm-001q,['nmm-001q'],True
nmm_t_249,nmm-001r,[],False
nmm_t_250,nmm-001r,['nmm-001r'],True
nmm_t_251,nmm-001r,['nmm-001r'],True
nmm_t_252,nmm-001r,['nmm-001r'],True
nmm_t_253,nmm-001s,[],False
nmm_t_254,nmm-001s,['nmm-001s'],True
nmm_t_255,nmm-001s,['nmm-001s'],True
nmm_t_256,nmm-001s,['nmm-001s'],True
nmm_t_257,nmm-001t,[],False
nmm_t_258,nmm-001t,['nmm-001t'],True
nmm_t_259,nmm-001t,['nmm-001t'],True
nmm_t_260,nmm-001t,['nmm-001t'],True
nmm_t_261,nmm-001u,[],False
nmm_t_262,nmm-001u,['nmm-001u'],True
nmm_t_263,nmm-001u,['nmm-001u'],True
nmm_t_264,nmm-001u,['nmm-001u'],True
nmm_t_265,nmm-001v,[],False
nmm_t_266,nmm-001v,['nmm-001v'],True
nmm_t_267,nmm-001v,['nmm-001v'],True
nmm_t_268,nmm-001v,['nmm-001v'],True
nmm_t_269,nmm-001w,[],False
nmm_t_270,nmm-001w,['nmm-001w'],True
nmm_t_271,nmm-001w,['nmm-001w'],True
nmm_t_272,nmm-001w,['nmm-001w'],True
nmm_t_273,nmm-001x,[],False
nmm_t_274,nmm-001x,['nmm-001x'],True
nmm_t_275,nmm-001x,['nmm-001x'],True
nmm_t_276,nmm-001x,['nmm-001x'],True
nmm_t_277,nmm-001y,[],False
nmm_t_278,nmm-001y,['nmm-001y'],True
nmm_t_279,nmm-001y,['nmm-001y'],True
nmm_t_280,nmm-001y,['nmm-001y'],True
nmm_t_281,nmm-001z,[],False
nmm_t_282,nmm-001z,['nmm-001z'],True
nmm_t_283,nmm-001z,['nmm-001z'],True
nmm_t_284,nmm-001z,['nmm-001z'],True
nmm_t_285,nmm-0020,[],False
nmm_t_286,nmm-0020,['nmm-0020'],True
nmm_t_287,nmm-0020,['nmm-0020'],True
nmm_t_288,nmm-0020,['nmm-0020'],True
nmm_t_289,nmm-0021,[],False
nmm_t_290,nmm-0021,['nmm-0021'],True
nmm_t_291,nmm-0021,['nmm-0021'],True
nmm_t_292,nmm-0021,['nmm-0021'],True
nmm_t_293,nmm-0022,[],False
nmm_t_294,nmm-0022,['nmm-0022'],True
nmm_t_295,nmm-0022,['nmm-0022'],True
nmm_t_296,nmm-0022,['nmm-0022'],True
nmm_t_297,nmm-0023,[],False
nmm_t_298,nmm-0023,['nmm-0023'],True
nmm_t_299,nmm-0023,['nmm-0023'],True
nmm_t_300,nmm-0023,['nmm-0023'],True
nmm_t_301,nmm-0024,[],False
nmm_t_302,nmm-0024,['nmm-0024'],True
nmm_t_303,nmm-0024,['nmm-0024'],True
nmm_t_304,nmm-0024,['nmm-0024'],True
nmm_t_305,nmm-0025,[],False
nmm_t_306,nmm-0025,['nmm-0025'],True
nmm_t_307,nmm-0025,['nmm-0025'],True
nmm_t_308,nmm-0025,['nmm-0025'],True
nmm_t_309,nmm-0026,[],False
nmm_t_310,nmm-0026,['nmm-0026'],True
nmm_t_311,nmm-0026,['nmm-0026'],True
nmm_t_312,nmm-0026,['nmm-0026'],True
nmm_t_313,nmm-0027,[],False
nmm_t_314,nmm-0027,['nmm-0027'],True
nmm_t_315,nmm-0027,['nmm-0027'],True
nmm_t_316,nmm-0027,['nmm-0027'],True
nmm_t_317,nmm-0028,[],False
nmm_t_318,nmm-0028,['nmm-0028'],True
nmm_t_319,nmm-0028,['nmm-0028'],True
nmm_t_320,nmm-0028,['nmm-0028'],True
nmm_t_321,nmm-0029,[],False
nmm_t_322,nmm-0029,['nmm-0029'],True
nmm_t_323,nmm-0029,['nmm-0029'],True
nmm_t_324,nmm-0029,['nmm-0029'],True
nmm_t_325,nmm-002a,[],False
nmm_t_326,nmm-002a,['nmm-002a'],True
nmm_t_327,nmm-002a,['nmm-002a'],True
nmm_t_328,nmm-002a,['nmm-002a'],True
nmm_t_329,nmm-002b,[],False
nmm_t_330,nmm-002b,['nmm-002b'],True
nmm_t_331,nmm-002b,['nmm-002b'],True
nmm_t_332,nmm-002b,['nmm-002b'],True
nmm_t_333,nmm-002c,[],False
nmm_t_334,nmm-002c,['nmm-002c'],True
nmm_t_335,nmm-002c,['nmm-002c'],True
nmm_t_336,nmm-002c,['nmm-002c'],True
nmm_t_337,nmm-002d,[],False
nmm_t_338,nmm-002d,['nmm-002d'],True
nmm_t_339,nmm-002d,['nmm-002d'],True
nmm_t_340,nmm-002d,['nmm-002d'],True
nmm_t_341,nmm-002e,[],False
nmm_t_342,nmm-002e,['nmm-002e'],True
nmm_t_343,nmm-002e,['nmm-002e'],True
nmm_t_344,nmm-002e,['nmm-002e'],True
nmm_t_345,nmm-002f,[],False
nmm_t_346,nmm-002f,['nmm-002f'],True
nmm_t_347,nmm-002f,['nmm-002f'],True
nmm_t_348,nmm-002f,['nmm-002f'],True
nmm_t_349,nmm-002g,[],False
nmm_t_350,nmm-002g,['nmm-002g'],True
nmm_t_351,nmm-002g,['nmm-002g'],True
nmm_t_352,nmm-002g,['nmm-002g'],True
nmm_t_353,nmm-002h,[],False
nmm_t_354,nmm-002h,['nmm-002h'],True
nmm_t_355,nmm-002h,['nmm-002h'],True
nmm_t_356,nmm-002h,['nmm-002h'],True
nmm_t_357,nmm-002i,[],False
nmm_t_358,nmm-002i,['nmm-002i'],True
nmm_t_359,nmm-002i,['nmm-002i'],True
nmm_t_360,nmm-002i,['nmm-002i'],True
nmm_t_361,nmm-002j,[],False
nmm_t_362,nmm-002j,['nmm-002j'],True
nmm_t_363,nmm-002j,['nmm-002j'],True
nmm_t_364,nmm-002j,['nmm-002j'],True
nmm_t_365,nmm-002k,[],False
nmm_t_366,nmm-002k,['nmm-002k'],True
nmm_t_367,nmm-002k,['nmm-002k'],True
nmm_t_368,nmm-002k,['nmm-002k'],True
nmm_t_369,nmm-002l,[],False
nmm_t_370,nmm-002l,['nmm-002l'],True
nmm_t_371,nmm-002l,['nmm-002l'],True
nmm_t_372,nmm-002l,['nmm-002l'],True
nmm_t_373,nmm-002m,[],False
nmm_t_374,nmm-002m,['nmm-002m'],True
nmm_t_375,nmm-002m,['nmm-002m'],True
nmm_t_376,nmm-002m,['nmm-002m'],True
nmm_t_377,nmm-002n,[],False
nmm_t_378,nmm-002n,['nmm-002n'],True
nmm_t_379,nmm-002n,['nmm-002n'],True
nmm_t_380,nmm-002n,['nmm-002n'],True
nmm_t_381,nmm-002o,[],False
nmm_t_382,nmm-002o,['nmm-002o'],True
nmm_t_383,nmm-002o,['nmm-002o'],True
nmm_t_384,nmm-002o,['nmm-002o'],True
nmm_t_385,nmm-002p,[],False
nmm_t_386,nmm-002p,['nmm-002p'],True
nmm_t_387,nmm-002p,['nmm-002p'],True
nmm_t_388,nmm-002p,['nmm-002p'],True
nmm_t_389,nmm-002q,[],False
nmm_t_390,nmm-002q,['nmm-002q'],True
nmm_t_391,nmm-002q,['nmm-002q'],True
nmm_t_392,nmm-002q,['nmm-002q'],True
nmm_t_393,nmm-002r,[],False
nmm_t_394,nmm-002r,['nmm-002r'],True
nmm_t_395,nmm-002r,['nmm-002r'],True
nmm_t_396,nmm-002r,['nmm-002r'],True
nmm_t_397,nmm-002s,[],False
nmm_t_398,nmm-002s,['nmm-002s'],True
nmm_t_399,nmm-002s,['nmm-002s'],True
nmm_t_400,nmm-002s,['nmm-002s'],True
nmm_t_401,nmm-002t,[],False
nmm_t_402,nmm-002t,['nmm-002t'],True
nmm_t_403,nmm-002t,['nmm-002t'],True
nmm_t_404,nmm-002t,['nmm-002t'],True
nmm_t_405,nmm-002u,[],False
nmm_t_406,nmm-002u,['nmm-002u'],True
nmm_t_407,nmm-002u,['nmm-002u'],True
nmm_t_408,nmm-002u,['nmm-002u'],True
nmm_t_409,nmm-002v,[],False
nmm_t_410,nmm-002v,['nmm-002v'],True
nmm_t_411,nmm-002v,['nmm-002v'],True
nmm_t_412,nmm-002v,['nmm-002v'],True
nmm_t_413,nmm-002w,[],False
nmm_t_414,nmm-002w,['nmm-002w'],True
nmm_t_415,nmm-002w,['nmm-002w'],True
nmm_t_416,nmm-002w,['nmm-002w'],True
nmm_t_417,nmm-002x,[],False
nmm_t_418,nmm-002x,['nmm-002x'],True
nmm_t_419,nmm-002x,['nmm-002x'],True
nmm_t_420,nmm-002x,['nmm-002x'],True
nmm_t_421,nmm-002y,[],False
nmm_t_422,nmm-002y,['nmm-002y'],True
nmm_t_423,nmm-002y,['nmm-002y'],True
nmm_t_424,nmm-002y,['nmm-002y'],True
nmm_t_425,nmm-002z,[],False
nmm_t_426,nmm-002z,['nmm-002z'],True
nmm_t_427,nmm-002z,['nmm-002z'],True
nmm_t_428,nmm-002z,['nmm-002z'],True
nmm_t_429,nmm-0030,[],False
nmm_t_430,nmm-0030,['nmm-0030'],True
nmm_t_431,nmm-0030,['nmm-0030'],True
nmm_t_432,nmm-0030,['nmm-0030'],True
nmm_t_433,nmm-0031,[],False
nmm_t_434,nmm-0031,['nmm-0031'],True
nmm_t_435,nmm-0031,['nmm-0031'],True
nmm_t_436,nmm-0031,['nmm-0031'],True
nmm_t_437,nmm-0032,[],False
nmm_t_438,nmm-0032,['nmm-0032'],True
nmm_t_439,nmm-0032,['nmm-0032'],True
nmm_t_440,nmm-0032,['nmm-0032'],True
nmm_t_441,nmm-0033,[],False
nmm_t_442,nmm-0033,['nmm-0033'],True
nmm_t_443,nmm-0033,['nmm-0033'],True
nmm_t_444,nmm-0033,['nmm-0033'],True
nmm_t_445,nmm-0034,[],False
nmm_t_446,nmm-0034,['nmm-0034'],True
nmm_t_447,nmm-0034,['nmm-0034'],True
nmm_t_448,nmm-0034,['nmm-0034'],True
nmm_t_449,nmm-0035,[],False
nmm_t_450,nmm-0035,['nmm-0035'],True
nmm_t_451,nmm-0035,['nmm-0035'],True
nmm_t_452,nmm-0035,['nmm-0035'],True
nmm_t_453,nmm-0036,[],False
nmm_t_454,nmm-0036,['nmm-0036'],True
nmm_t_455,nmm-0036,['nmm-0036'],True
nmm_t_456,nmm-0036,['nmm-0036'],True
nmm_t_457,nmm-0037,[],False
nmm_t_458,nmm-0037,['nmm-0037'],True
nmm_t_459,nmm-0037,['nmm-0037'],True
nmm_t_460,nmm-0037,['nmm-0037'],True
nmm_t_461,nmm-0038,[],False
nmm_t_462,nmm-0038,['nmm-0038'],True
nmm_t_463,nmm-0038,['nmm-0038'],True
nmm_t_464,nmm-0038,['nmm-0038'],True
nmm_t_465,nmm-0039,[],False
nmm_t_466,nmm-0039,['nmm-0039'],True
nmm_t_467,nmm-0039,['nmm-0039'],True
nmm_t_468,nmm-0039,['nmm-0039'],True
nmm_t_469,nmm-003a,[],False
nmm_t_470,nmm-003a,['nmm-003a'],True
nmm_t_471,nmm-003a,['nmm-003a'],True
nmm_t_472,nmm-003a,['nmm-003a'],True
nmm_t_473,nmm-003b,[],False
nmm_t_474,nmm-003b,['nmm-003b'],True
nmm_t_475,nmm-003b,['nmm-003b'],True
nmm_t_476,nmm-003b,['nmm-003b'],True
nmm_t_477,nmm-003c,[],False
nmm_t_478,nmm-003c,['nmm-003c'],True
nmm_t_479,nmm-003c,['nmm-003c'],True
nmm_t_480,nmm-003c,['nmm-003c'],True
nmm_t_481,nmm-003d,[],False
nmm_t_482,nmm-003d,['nmm-003d'],True
nmm_t_483,nmm-003d,['nmm-003d'],True
nmm_t_484,nmm-003d,['nmm-003d'],True
nmm_t_485,nmm-003e,[],False
nmm_t_486,nmm-003e,['nmm-003e'],True
nmm_t_487,nmm-003e,['nmm-003e'],True
nmm_t_488,nmm-003e,['nmm-003e'],True
nmm_t_489,nmm-003f,[],False
nmm_t_490,nmm-003f,['nmm-003f'],True
nmm_t_491,nmm-003f,['nmm-003f'],True
nmm_t_492,nmm-003f,['nmm-003f'],True
nmm_t_493,nmm-003g,[],False
nmm_t_494,nmm-003g,['nmm-003g'],True
nmm_t_495,nmm-003g,['nmm-003g'],True
nmm_t_496,nmm-003g,['nmm-003g'],True
nmm_t_497,nmm-003h,[],False
nmm_t_498,nmm-003h,['nmm-003h'],True
nmm_t_499,nmm-003h,['nmm-003h'],True
nmm_t_500,nmm-003h,['nmm-003h'],True
nmm_t_501,nmm-003i,[],False
nmm_t_502,nmm-003i,['nmm-003i'],True
nmm_t_503,nmm-003i,['nmm-003i'],True
nmm_t_504,nmm-003i,['nmm-003i'],True
nmm_t_505,nmm-003j,[],False
nmm_t_506,nmm-003j,['nmm-003j'],True
nmm_t_507,nmm-003j,['nmm-003j'],True
nmm_t_508,nmm-003j,['nmm-003j'],True
nmm_t_509,nmm-003k,[],False
nmm_t_510,nmm-003k,['nmm-003k'],True
nmm_t_511,nmm-003k,['nmm-003k'],True
nmm_t_512,nmm-003k,['nmm-003k'],True
nmm_t_513,nmm-003l,[],False
nmm_t_514,nmm-003l,['nmm-003l'],True
nmm_t_515,nmm-003l,['nmm-003l'],True
nmm_t_516,nmm-003l,['nmm-003l'],True
nmm_t_517,nmm-003m,[],False
nmm_t_518,nmm-003m,['nmm-003m'],True
nmm_t_519,nmm-003m,['nmm-003m'],True
nmm_t_520,nmm-003m,['nmm-003m'],True
nmm_t_521,nmm-003n,[],False
nmm_t_522,nmm-003n,['nmm-003n'],True
nmm_t_523,nmm-003n,['nmm-003n'],True
nmm_t_524,nmm-003n,['nmm-003n'],True
nmm_t_525,nmm-003o,[],False
nmm_t_526,nmm-003o,['nmm-003o'],True
nmm_t_527,nmm-003o,['nmm-003o'],True
nmm_t_528,nmm-003o,['nmm-003o'],True
nmm_t_529,nmm-003p,[],False
nmm_t_530,nmm-003p,['nmm-003p'],True
nmm_t_531,nmm-003p,['nmm-003p'],True
nmm_t_532,nmm-003p,['nmm-003p'],True
nmm_t_533,nmm-003q,[],False
nmm_t_534,nmm-003q,['nmm-003q'],True
nmm_t_535,nmm-003q,['nmm-003q'],True
nmm_t_536,nmm-003q,['nmm-003q'],True
nmm_t_537,nmm-003r,[],False
nmm_t_538,nmm-003r,['nmm-003r'],True
nmm_t_539,nmm-003r,['nmm-003r'],True
nmm_t_540,nmm-003r,['nmm-003r'],True
nmm_t_541,nmm-003s,[],False
nmm_t_542,nmm-003s,['nmm-003s'],True
nmm_t_543,nmm-003s,['nmm-003s'],True
nmm_t_544,nmm-003s,['nmm-003s'],True
nmm_t_545,nmm-003t,[],False
nmm_t_546,nmm-003t,['nmm-003t'],True
nmm_t_547,nmm-003t,['nmm-003t'],True
nmm_t_548,nmm-003t,['nmm-003t'],True
nmm_t_549,nmm-003u,[],False
nmm_t_550,nmm-003u,['nmm-003u'],True
nmm_t_551,nmm-003u,['nmm-003u'],True
nmm_t_552,nmm-003u,['nmm-003u'],True
nmm_t_553,nmm-003v,[],False
nmm_t_554,nmm-003v,['nmm-003v'],True
nmm_t_555,nmm-003v,['nmm-003v'],True
nmm_t_556,nmm-003v,['nmm-003v'],True
nmm_t_557,nmm-003w,[],False
nmm_t_558,nmm-003w,['nmm-003w'],True
nmm_t_559,nmm-003w,['nmm-003w'],True
nmm_t_560,nmm-003w,['nmm-003w'],True
nmm_t_561,nmm-003x,[],False
nmm_t_562,nmm-003x,['nmm-003x'],True
nmm_t_563,nmm-003x,['nmm-003x'],True
nmm_t_564,nmm-003x,['nmm-003x'],True
nmm_t_565,nmm-003y,[],False
nmm_t_566,nmm-003y,['nmm-003y'],True
nmm_t_567,nmm-003y,['nmm-003y'],True
nmm_t_568,nmm-003y,['nmm-003y'],True
nmm_t_569,nmm-003z,[],False
nmm_t_570,nmm-003z,['nmm-003z'],True
nmm_t_571,nmm-003z,['nmm-003z'],True
nmm_t_572,nmm-003z,['nmm-003z'],True
nmm_t_573,nmm-0040,[],False
nmm_t_574,nmm-0040,['nmm-0040'],True
